Time	Pid	Memory percent	CPU percent	Process running	Process connections	Sends	Sends to leader	Cluster Head count	Received data pkt
1525779612	31850	54.495	4	242	3	1	0	0	0
1525779613	31850	54.465	16.418	243	3	1	0	0	0
1525779613	31850	54.454	17.172	243	3	1	0	0	0
1525779613	31860	54.454	17.413	243	3	1	0	0	0
1525779614	31860	54.453	19.403	244	3	1	0	0	0
1525779614	31850	54.452	18.593	244	3	1	0	0	0
1525779614	31850	54.462	18.09	245	3	1	0	0	0
1525779614	31860	54.462	17.259	245	3	1	0	0	0
1525779614	31870	54.462	18.719	245	3	1	0	0	0
1525779615	31860	54.465	16.244	246	3	1	0	0	0
1525779615	31870	54.462	16.244	246	3	1	0	0	0
1525779615	31850	54.463	16.244	246	3	1	0	0	0
1525779615	31850	54.464	18.687	246	3	1	0	0	0
1525779615	31870	54.464	18.367	246	3	1	0	0	0
1525779615	31883	54.464	19.802	246	3	1	0	0	0
1525779615	31860	54.464	18.687	246	3	1	0	0	0
1525779616	31850	54.481	17.259	247	3	1	0	0	0
1525779616	31883	54.488	16.751	247	3	1	0	0	0
1525779616	31860	54.483	17.259	247	3	1	0	0	0
1525779616	31870	54.488	17.172	247	3	1	0	0	0
1525782766	9209	54.547	3.518	242	3	1	0	0	0
1525782767	9209	54.833	21.717	242	3	1	0	0	0
1525782767	9209	55.107	18.593	242	3	1	0	0	0
1525782768	9209	55.406	9.645	242	3	1	0	0	0
1525782821	9378	55.699	4.478	242	3	1	0	0	0
1525782822	9378	54.563	17.91	242	3	1	0	0	0
1525785329	11096	51.945	4.854	243	3	1	0	0	0
1525785329	11096	51.951	5.528	243	3	1	0	0	0
1525785330	11096	51.957	7.96	243	3	1	0	0	0
1525785349	11235	51.951	6.667	243	3	1	0	0	0
1525785600	12548	52.139	5.97	242	3	1	0	0	0
1525785601	12548	52.142	4.5	242	3	1	0	0	0
1525785696	12815	52.271	7.767	242	3	1	0	0	0
1525785697	12815	52.278	4.592	242	3	1	0	0	0
1525785902	13128	52.29	6.533	242	3	1	0	0	0
1525785903	13128	52.292	5	242	3	1	0	0	0
1525786044	14411	52.212	5.446	244	3	1	0	0	0
1525786045	14411	52.219	7.96	244	3	1	0	0	0
1525786049	14452	52.219	6.404	244	3	1	0	0	0
1525786050	14452	52.225	5.528	244	3	1	0	0	0
1525786115	14887	52.072	6	244	3	1	0	0	0
1525786115	14887	52.083	5.556	244	3	1	0	0	0
1525786165	15066	52.045	4.902	244	3	1	0	0	0
1525786165	15066	52.05	5.67	244	3	1	0	0	0
1525786214	15723	52.061	5.5	243	3	1	0	0	0
1525786214	15723	52.068	5.128	243	3	1	0	0	0
1525786279	16151	52.138	3.015	242	3	1	0	0	0
1525786279	16151	52.147	5.528	242	3	1	0	0	0
1525786358	16463	52.434	11.224	242	3	1	0	0	0
1525786358	16463	52.436	8.543	242	3	1	0	0	0
1525786389	16622	52.357	6.931	242	3	1	0	0	0
1525786389	16622	52.363	6.667	242	3	1	0	0	0
1525786743	17364	52.427	10.784	242	3	1	0	0	0
1525786764	17561	52.416	9.804	244	3	1	0	0	0
1525787291	18944	52.191	4.455	244	3	1	0	0	0
1525787291	18944	52.194	2.551	244	3	1	0	0	0
1525787335	19125	52.156	5	244	3	1	0	0	0
1525787372	19429	52.172	12.871	244	3	1	0	0	0
1525787372	19429	52.178	28.426	244	3	1	0	0	0
1525787447	19983	52.206	3.015	242	3	1	0	0	0
1525787447	19983	52.212	3.571	242	3	1	0	0	0
1525787448	19983	52.216	5	242	3	1	0	0	0
1525787592	20742	52.226	5.076	242	3	1	0	0	0
1525787592	20742	52.237	4.061	242	3	1	0	0	0
1525787653	20906	52.201	13.93	242	3	1	0	0	0
1525787654	20906	52.206	28.571	242	3	1	0	0	0
1525787654	20906	52.213	25.743	242	3	1	0	0	0
1525787804	21172	52.215	4.082	242	3	1	0	0	0
1525787804	21172	52.218	4.478	242	3	1	0	0	0
1525787805	21172	52.225	4.082	242	3	1	0	0	0
1525788522	22243	52.616	5.97	242	3	1	0	0	0
1525788522	22243	52.621	4.04	242	3	1	0	0	0
1525788523	22243	52.626	4	242	3	1	0	0	0
1525788640	22659	52.644	11.443	241	3	1	0	0	0
1525788640	22659	52.646	26.425	241	3	1	0	0	0
1525788641	22659	52.645	24.121	241	3	1	0	0	0
1525788641	22659	52.648	4.639	241	3	1	0	0	0
1525788642	22659	52.658	4.082	241	3	1	0	0	0
1525788642	22659	52.652	4.02	241	3	1	0	0	0
1525788643	22659	52.653	14.213	241	3	1	0	0	0
1525788643	22659	52.654	22	241	3	1	0	0	0
1525788644	22659	52.658	19.898	241	3	1	0	0	0
1525788644	22659	52.655	24.5	241	3	1	0	0	0
1525788645	22659	52.645	27.586	241	3	1	0	0	0
1525788692	22871	52.648	13.265	242	3	1	0	0	0
1525788692	22871	52.655	24.747	242	3	1	0	0	0
1525788693	22871	52.665	27	242	3	1	0	0	0
1525788693	22871	52.671	5.5	242	3	1	0	0	0
1525788753	23121	52.635	8.654	243	3	1	0	0	0
1525788753	23121	52.638	6.931	243	3	1	0	0	0
1525788813	23288	52.569	10.048	243	3	1	0	0	0
1525788814	23288	52.572	5.5	243	3	1	0	0	0
1525788814	23288	52.572	4.523	243	3	1	0	0	0
1525788865	23516	52.527	10.145	243	3	1	0	0	0
1525788865	23516	52.533	4.455	243	3	1	0	0	0
1525788866	23516	52.539	4.061	243	3	1	0	0	0
1525789012	23934	52.663	8	243	3	1	0	0	0
1525789012	23934	52.669	4.103	243	3	1	0	0	0
